,state,month,positiveIncrease,covid_change,population,covid_percap,weighted_pax,weighted_percap
0,AK,4,104,-0.6350877192982456,737438,0.0001410288051334485,25.35191173329094,3.43783636499488e-05
1,AK,5,276,1.6538461538461537,737438,0.00037426875208492106,60.6276390613451,8.221387975849509e-05
2,AK,6,915,2.3152173913043477,737438,0.0012407822759337055,329.10564700341877,0.00044628246307271764
3,AK,7,2498,1.7300546448087433,737438,0.0033874034156091766,738.5841669304407,0.0010015542553142647
4,AK,8,2272,-0.09047237790232188,737438,0.0030809369736845673,501.8661290160244,0.0006805536587699907
5,AK,9,3864,0.7007042253521127,737438,0.005239762529188894,563.6365469023808,0.0007643171994152468
6,AL,4,7092,0.8325581395348838,4887871,0.0014509384556179981,21.034026890420083,4.303310560041393e-06
7,AL,5,14647,1.0652848279751832,4887871,0.0029966011787135954,55.46253620944815,1.1346972170388324e-05
8,AL,6,31640,1.1601693179490682,4887871,0.006473165924387121,232.43932567812973,4.755430854826769e-05
9,AL,7,49054,0.5503792667509482,4887871,0.010035862239408527,438.409542964075,8.96933538066113e-05
10,AL,8,33150,-0.324214131365434,4887871,0.006782093880955533,298.8969792884612,6.115075035500347e-05
11,AL,9,28518,-0.1397285067873303,4887871,0.005834442030078126,340.96832708682,6.97580453917094e-05
12,AR,4,2756,0.8773841961852862,3013825,0.0009144525644322415,14.367829372187275,4.7673071170978e-06
13,AR,5,8265,1.998911465892598,3013825,0.0027423622804907386,44.906531635127244,1.4900178887336606e-05
14,AR,6,17232,1.0849364791288565,3013825,0.0057176511575821425,232.29121866901025,7.707521792705623e-05
15,AR,7,22659,0.31493732590529255,3013825,0.0075183529236103625,420.41406370390996,0.00013949518094246016
16,AR,8,18235,-0.1952425084955205,3013825,0.0060504508390500445,253.58507951860906,8.414061185324598e-05
17,AR,9,24619,0.35009596928982734,3013825,0.008168689290187717,258.1855142040966,8.566705571959108e-05
18,AZ,4,8868,1.3373748023194518,7171646,0.0012365362149777052,188.6682171710815,2.630751952495724e-05
19,AZ,5,23017,1.595511953089761,7171646,0.003209444526403004,466.97692848335623,6.511433058510644e-05
20,AZ,6,92406,3.01468479819264,7171646,0.012884908150792719,1618.6825684511305,0.00022570586563407208
21,AZ,7,63624,-0.3114732809557821,7171646,0.008871603534251411,2681.9502975084897,0.00037396579495257987
22,AZ,8,17004,-0.7327423613730668,7171646,0.0023710038113983873,1958.8607827009102,0.0002731396366609437
23,AZ,9,18910,0.11209127264173135,7171646,0.0026367726460564283,2545.6577713576853,0.0003549614372150668
24,CA,4,49826,1.1582777440873255,39557045,0.0012595986378658973,585.8943570978832,1.481137827908741e-05
25,CA,5,75691,0.5191064905872436,39557045,0.0019134644663169355,1313.5654636988338,3.3206865267585934e-05
26,CA,6,187653,1.479198319483162,39557045,0.004743857889283692,6025.181765283582,0.0001523162755277494
27,CA,7,264567,0.4098735431887579,39557045,0.006688239730748341,11288.622767329882,0.0002853757849538529
28,CA,8,156703,-0.4077001288898464,39557045,0.0039614435304760505,7460.600260680163,0.00018860357897512725
29,CA,9,97294,-0.3791184597614595,39557045,0.0024595871607699716,8219.07149296791,0.00020777769150774308
30,CO,4,12897,0.6513444302176696,5695564,0.002264393833516751,140.46503073174435,2.4662181081934002e-05
31,CO,5,8292,-0.3570597813444987,5695564,0.0014558698664434285,453.59724054630425,7.964044307926383e-05
32,CO,6,8556,0.03183791606367592,5695564,0.0015022217290508895,2550.4024783105956,0.00044778751995598604
33,CO,7,14852,0.7358578775128566,5695564,0.00260764342214397,4870.7594912155,0.000855184752768207
34,CO,8,9161,-0.3831807164018314,5695564,0.0016084447475263205,3493.4922225645914,0.000613370725456617
35,CO,9,19078,1.082523741949569,5695564,0.0033496243743376423,3737.261371464146,0.0006561705515843814
36,CT,4,21475,0.5363428244384032,3572665,0.006010919019835333,14.221569355129658,3.980661314489228e-06
37,CT,5,9624,-0.5518509895227008,3572665,0.0026937874107983814,51.776813714474294,1.4492490539827914e-05
38,CT,6,2442,-0.7462593516209477,3572665,0.00068352336421131,431.7161750756638,0.00012083869466509281
39,CT,7,3367,0.3787878787878789,3572665,0.0009424337294428669,532.0782447336572,0.0001489303488386561
40,CT,8,3998,0.18740718740718743,3572665,0.0011190525839954208,280.69610022177335,7.856770792161408e-05
41,CT,9,6966,0.7423711855927964,3572665,0.0019498049775167837,227.88633821065312,6.378609195394842e-05
42,FL,4,21624,0.07667795259908394,21299325,0.001015243440813265,601.4978538233518,2.8240230797142717e-05
43,FL,5,31523,0.4577783943766185,21299325,0.0014799999530501554,1672.8310988013977,7.853916022227924e-05
44,FL,6,213540,5.774101449735114,21299325,0.010025669827564958,4834.819843855685,0.00022699404060249256
45,FL,7,270515,0.26681183853142265,21299325,0.012700637226766577,9665.608164027057,0.0004537988017942849
46,FL,8,100866,-0.6271334306785206,21299325,0.0047356430309411215,6522.5546623491455,0.00030623292814909136
47,FL,9,74196,-0.26441020760216527,21299325,0.0034834906740002325,7560.4409881888705,0.00035496152991650536
48,GA,4,21635,0.5282192554919827,10519475,0.0020566615729397143,229.54765162010148,2.1821207961433576e-05
49,GA,5,21823,0.008689623295585758,10519475,0.0020745331872550673,403.23215238831705,3.833196546294535e-05
50,GA,6,66282,2.0372542730147094,10519475,0.006300884787501277,1691.546208085537,0.00016080139057182387
51,GA,7,107932,0.6283757279502731,10519475,0.010260207852578194,3328.01618961263,0.0003163671371064269
52,GA,8,63442,-0.4122039802838825,10519475,0.006030909337205516,2299.841194749926,0.000218626993718786
53,GA,9,39264,-0.38110400050439774,10519475,0.0037325056621171685,2615.86884833108,0.0002486691444517031
54,HI,4,134,-0.7330677290836654,1420491,9.433357902302795e-05,15.858447535311823,1.1164060550409557e-05
55,HI,5,85,-0.3656716417910447,1420491,5.983846430565206e-05,36.74526043717978,2.586799947143613e-05
56,HI,6,520,5.117647058823529,1420491,0.0003660706051639891,219.54579730335186,0.00015455627476932402
57,HI,7,3069,4.901923076923077,1420491,0.0021605205524005433,734.4794631394197,0.0005170602722153253
58,HI,8,6522,1.1251221896383186,1420491,0.004591370167076032,525.411073186806,0.0003698799029256827
59,HI,9,2939,-0.5493713584789941,1420491,0.002069002901109546,200.61395253748577,0.00014122859809564844
60,IA,4,11776,5.257173219978746,3156145,0.0037311340258448203,11.78026509690829,3.7324853886333767e-06
61,IA,5,10251,-0.12950067934782605,3156145,0.003247949634760127,57.08149489187327,1.8085827771497594e-05
62,IA,6,11923,0.16310603843527471,3156145,0.003777709832723148,286.9394586147806,9.091453612390451e-05
63,IA,7,15083,0.2650339679610836,3156145,0.0047789312594953655,462.17277894072635,0.00014643585099566919
64,IA,8,21944,0.4548829808393555,3156145,0.006952785756040993,257.1204877735091,8.146662709524091e-05
65,IA,9,24508,0.11684287276704342,3156145,0.007765169217510602,243.21766766038166,7.706162665542352e-05
66,ID,4,871,-0.399724328049621,1754208,0.0004965203670260312,16.514527723464475,9.414235782452522e-06
67,ID,5,1075,0.23421354764638336,1754208,0.0006128121636658823,58.421781454267844,3.330379376577227e-05
68,ID,6,8003,6.444651162790698,1754208,0.004562172786807494,299.6149251051154,0.00017079783304209956
69,ID,7,15229,0.9029114082219167,1754208,0.008681410642295554,533.9321360514169,0.0003043721930645721
70,ID,8,8648,-0.43213605620854945,1754208,0.0049298600850070234,360.6337440962608,0.00020558208838191412
71,ID,9,13968,0.6151711378353377,1754208,0.007962567722869808,367.2852939087638,0.00020937385641198978
72,IL,4,64690,1.788241886125598,12741080,0.005077277593422222,155.79787590524066,1.2227996049411875e-05
73,IL,5,45467,-0.2971556654815273,12741080,0.003568535791314394,478.3728792778832,3.754570878433251e-05
74,IL,6,23234,-0.4889920161875646,12741080,0.0018235502798820823,3053.805814182536,0.00023968186481699636
75,IL,7,47385,1.0394680210037013,12741080,0.0037190724805118563,4763.249693797067,0.000373849759502104
76,IL,8,60816,0.28344412788857243,12741080,0.004773221736304929,2604.1013953678716,0.00020438623690989083
77,IL,9,65804,0.08201789002893967,12741080,0.005164711311756931,2643.93831325517,0.00020751288848788095
78,IN,4,17526,1.0589755639097747,6691878,0.0026189957437956876,30.87271704698333,4.613460832218299e-06
79,IN,5,13856,-0.2094031724295332,6691878,0.0020705697264654255,143.2577787724673,2.140770928167957e-05
80,IN,6,12776,-0.07794457274826794,6691878,0.0019091800537905802,919.6898777203146,0.00013743374845152806
81,IN,7,25947,1.030917345021916,6691878,0.003877386886013164,1503.1062919311416,0.0002246165115280257
82,IN,8,27908,0.07557713801210153,6691878,0.004170428689823694,664.9190801434074,9.93621043514851e-05
83,IN,9,32729,0.17274616597391423,6691878,0.004890854256458351,647.9092918206051,9.682024863881335e-05
84,KS,4,6042,3.2549295774647886,2911505,0.002075215395474162,6.339231214355298,2.1773039078948164e-06
85,KS,5,3579,-0.40764647467725923,2911505,0.0012292611553131455,24.568298350029767,8.438350045776932e-06
86,KS,6,9011,1.5177423861413804,2911505,0.003094962914369029,135.65566228313287,4.6592969025687014e-05
87,KS,7,13827,0.5344578848074575,2911505,0.004749090247140225,208.5338486154653,7.162407367168021e-05
88,KS,8,16014,0.1581688001735735,2911505,0.005500248153446414,127.3457144267626,4.3738792970220764e-05
89,KS,9,19256,0.20244785812414134,2911505,0.006613761611262903,139.16045386513113,4.779674218836345e-05
90,KY,4,5032,1.4739429695181907,4468402,0.0011261296544044157,29.761433599696108,6.660419899484449e-06
91,KY,5,5365,0.06617647058823528,4468402,0.0012006529403576491,145.9865545197816,3.2670864107522465e-05
92,KY,6,7778,0.4497670083876981,4468402,0.0017406670214542021,984.2688473760076,0.00022027311942300794
93,KY,7,18075,1.323862175366418,4468402,0.004045070251065146,1639.2513042415158,0.00036685403512072453
94,KY,8,18984,0.05029045643153518,4468402,0.004248498680288837,768.0188465906735,0.00017187774210795573
95,KY,9,25731,0.35540455120101133,4468402,0.00575843444703498,751.1237106762575,0.00016809671794889035
96,LA,4,11971,-0.4423533796059067,4659978,0.002568896248008038,40.110878978923395,8.60752539581161e-06
97,LA,5,13130,0.09681730849553083,4659978,0.002817609868544444,114.72864499500812,2.461999713196245e-05
98,LA,6,35423,1.6978674790555979,4659978,0.007601538033012173,567.7783481934432,0.0001218414224688278
99,LA,7,54695,0.5440532987042317,4659978,0.011737179875098123,1271.0667964186057,0.00027276240283078713
100,LA,8,22145,-0.5951183837645123,4659978,0.004752168357876368,763.4551011419022,0.00016383234022604876
101,LA,9,17327,-0.21756604199593588,4659978,0.00371825789735488,784.7630988132854,0.00016840489350234815
102,MA,4,54073,0.9262940401125717,6902149,0.007834226702437169,59.96210284895379,8.687454131887589e-06
103,MA,5,23421,-0.5668633144083,6902149,0.003393290988067629,162.3654871280347,2.3523903515852045e-05
104,MA,6,6527,-0.7213184748729773,6902149,0.000945647507754469,1213.5238415668773,0.00017581826204662887
105,MA,7,10401,0.5935345487973036,6902149,0.0015069219745908122,2156.933342405833,0.0003125017067011786
106,MA,8,2549,-0.7549274108258821,6902149,0.0003693052699963446,1128.8656792775564,0.00016355278323860532
107,MA,9,15912,5.242448018830914,6902149,0.0023053689510324975,991.1388899386,0.00014359859370445348
108,MD,4,26431,1.7981156044886726,6042718,0.004374025066203652,29.02034529563915,4.8025317904358845e-06
109,MD,5,25798,-0.02394915061859182,6042718,0.004269270881083645,124.01322317380962,2.0522755351782032e-05
110,MD,6,12559,-0.513179316226064,6042718,0.002078369369545294,1065.4746705651373,0.00017632374546770798
111,MD,7,24615,0.9599490405287046,6042718,0.004073498051704548,2038.1356457261222,0.00033728789689112124
112,MD,8,17771,-0.27804184440381885,6042718,0.0029408951402332528,1075.8617396084553,0.00017804268536252316
113,MD,9,16272,-0.08435090878397389,6042718,0.0026928279625162053,1042.5696411114982,0.00017253322778119023
114,ME,4,831,0.13679890560875507,1338404,0.0006208887600455468,7.09691636808145,5.302521785710032e-06
115,ME,5,1228,0.4777376654632972,1338404,0.0009175107067821076,25.952930800112732,1.939095430087831e-05
116,ME,6,773,-0.37052117263843654,1338404,0.0005775535637968805,149.81876236577534,0.00011193837015264101
117,ME,7,549,-0.2897800776196636,1338404,0.0004101900472503071,302.5760063357243,0.0002260722519775227
118,ME,8,788,0.43533697632058277,1338404,0.0005887609421370527,207.90103646312176,0.00015533503819707784
119,ME,9,913,0.15862944162436543,1338404,0.0006821557616384889,198.27590640720555,0.0001481435399230767
120,MI,4,23423,-0.2653912498039831,9995915,0.0023432572205746047,94.3294275737264,9.43679768922869e-06
121,MI,5,9018,-0.6149938095034795,9995915,0.0009021685358468935,232.04610312036561,2.3214093269137004e-05
122,MI,6,11810,0.30960301618984243,9995915,0.0011814826356566657,1413.8483352832866,0.00014144261283567203
123,MI,7,22860,0.9356477561388654,9995915,0.0022869342126258575,2694.6681871351548,0.0002695769408938706
124,MI,8,23563,0.030752405949256323,9995915,0.002357262941911771,1627.7809219870494,0.0001628446142236153
125,MI,9,30168,0.2803123541145016,9995915,0.003018032866425935,1544.192127696658,0.00015448231879689432
126,MN,4,14400,5.9397590361445785,5611179,0.002566305583906698,82.18610947225751,1.4646852198487611e-05
127,MN,5,13906,-0.03430555555555559,5611179,0.002478267045125454,173.00921592739823,3.083295256262512e-05
128,MN,6,12699,-0.08679706601466997,5611179,0.002263160736807719,896.6375129459244,0.00015979485112592638
129,MN,7,20553,0.6184738955823292,5611179,0.0036628665740301635,1646.931012064082,0.0002935089064284141
130,MN,8,21226,0.03274461149223962,5611179,0.003782805716944692,1169.8523081582916,0.00020848600769255297
131,MN,9,30994,0.4601903326109489,5611179,0.0055236163380280685,1182.846056955104,0.00021080169728235438
132,MO,4,5631,0.2026911576249466,6126452,0.0009191290489177096,62.970756261164844,1.027850316319541e-05
133,MO,5,5493,-0.024507192328183325,6126452,0.0008966037765414631,221.87789623395045,3.621637715172672e-05
134,MO,6,13016,1.369561259785181,6126452,0.0021245575742697403,1468.2303211017743,0.0002396542601005891
135,MO,7,36444,1.7999385371850032,6126452,0.0059486306266661355,2402.311800687245,0.0003921212148054445
136,MO,8,38809,0.06489408407419606,6126452,0.006334661562679345,1348.0278142207756,0.00022003401221796492
137,MO,9,44600,0.1492179649050478,6126452,0.007279906869424587,1252.3572944903754,0.00020441803746938281
138,MS,4,7396,1.400519311911717,2986530,0.0024764526055321727,10.264358248981047,3.4368843604387187e-06
139,MS,5,9033,0.22133585722011895,2986530,0.0030245803658426333,21.754766143213022,7.284295199851675e-06
140,MS,6,18026,0.9955717923170597,2986530,0.006035767261671572,81.80947471265186,2.7392818660000692e-05
141,MS,7,33388,0.8522134694330412,2986530,0.011179529420431069,145.82845694300735,4.882872663023889e-05
142,MS,8,19088,-0.42829759194920336,2986530,0.00639136389053517,105.07581945394745,3.518324592552141e-05
143,MS,9,16799,-0.11991827326068738,2986530,0.005624922569001483,124.69572587527219,4.175271163365919e-05
144,MT,4,63,-0.8401015228426396,1062305,5.930500185916474e-05,12.039975469630281,1.1333821708106693e-05
145,MT,5,139,1.2063492063492065,1062305,0.00013084754378450635,54.77116486406039,5.1558794191932064e-05
146,MT,6,1351,8.719424460431656,1062305,0.0012717628176465328,312.7346844063246,0.00029439255619273616
